,order_id,order_date,ship_date,ship_mode,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub-category,product_name,sales,quantity,discount,profit,OD_Year,OD_Month,SD_Year,SD_Month,Sales_z,Profit_z
0,CA-2016-152156,2016-08-11,2016-11-11,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,2016,8,2016,11,0.051507824358828676,0.056589676419443735
1,CA-2016-152156,2016-08-11,2016-11-11,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,2016,8,2016,11,0.8055931747553429,0.8150133011297382
2,CA-2016-138688,2016-12-06,2016-06-16,Second Class,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,2016,12,2016,6,-0.34535048996746986,-0.0929970387298067
3,US-2015-108966,2015-11-10,2015-10-18,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,2015,11,2015,10,1.1676297151402388,-1.7573965126443756
4,US-2015-108966,2015-11-10,2015-10-18,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,2015,11,2015,10,-0.3329187837355617,-0.11158748523359316
5,CA-2014-115812,2014-09-06,2014-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,2014,9,2014,6,-0.29041223217442197,-0.06184363377351887
6,CA-2014-115812,2014-09-06,2014-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656,2014,9,2014,6,-0.357127558080816,-0.11393871782470351
7,CA-2014-115812,2014-09-06,2014-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,2014,9,2014,6,1.086721738553109,0.26491195749847585
8,CA-2014-115812,2014-09-06,2014-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,2014,9,2014,6,-0.33911859179959025,-0.09764529066963978
9,CA-2014-115812,2014-09-06,2014-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,2014,9,2014,6,-0.18445070925815787,0.024814740117357653
10,CA-2014-115812,2014-09-06,2014-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,2014,9,2014,6,2.368772731569891,0.2418350450301706
11,CA-2014-115812,2014-09-06,2014-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,2014,9,2014,6,1.0935761847356993,0.16946933083710758
12,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,2017,4,2017,4,-0.34385509112800955,-0.09909368068083031
13,CA-2016-161389,2016-05-12,2016-10-12,Standard Class,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,2016,5,2016,10,0.285791254554789,0.443674788322601
14,US-2015-118983,2015-11-22,2015-11-26,Standard Class,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,2015,11,2015,11,-0.2584023535829703,-0.6510493733273041
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,2015,11,2015,11,-0.36472649467275153,-0.13861897626472458
16,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,2014,11,2014,11,0.6995995617352276,-0.06547976289680825
17,CA-2014-167164,2014-05-13,2014-05-15,Second Class,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,2014,5,2014,5,-0.2797583176958636,-0.07968448615421349
18,CA-2014-143336,2014-08-27,2014-01-09,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824,2014,8,2014,1,-0.3550737914343469,-0.11173262304785923
19,CA-2014-143336,2014-08-27,2014-01-09,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,2014,8,2014,1,-0.026278587376187698,-0.053982286751389566
20,CA-2014-143336,2014-08-27,2014-01-09,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,2014,8,2014,1,-0.3323539979077827,-0.09080887274178352
21,CA-2016-137330,2016-09-12,2016-12-13,Standard Class,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0.0,5.0596,2016,9,2016,12,-0.33758468483550863,-0.10073117672649104
22,CA-2016-137330,2016-09-12,2016-12-13,Standard Class,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884,2016,9,2016,12,-0.2719925125639024,-0.05535938848321999
23,US-2017-156909,2017-07-16,2017-07-18,Second Class,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,2017,7,2017,7,-0.254291611279647,-0.12668181791726454
24,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649,2015,9,2015,9,1.3073059034150434,0.9033036216792596
25,CA-2016-121755,2016-01-16,2016-01-20,Second Class,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,2016,1,2016,1,-0.35011907939974024,-0.10430498196483089
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,11.7741,2016,1,2016,1,-0.22348832059299595,-0.07206859278856356
27,US-2015-150630,2015-09-17,2015-09-21,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,2015,9,2015,9,4.578571089994074,-7.230036360019832
28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,2015,9,2015,9,-0.3533762249406248,-0.15243780368655177
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,2015,9,2015,9,-0.169528810967406,-0.05605690374354575
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,2015,9,2015,9,-0.3635712509341127,-0.11762692581075895
31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,2015,9,2015,9,-0.23033313974443118,-0.08088315374968152
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,2015,9,2015,9,-0.3578046592720738,-0.14672535006740894
33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,2015,9,2015,9,-0.34352135404795836,-0.10719237071687708
34,CA-2017-107727,2017-10-19,2017-10-23,Second Class,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468,2017,10,2017,10,-0.32152037884765833,-0.07986889655351627
35,CA-2016-117590,2016-08-12,2016-10-12,First Class,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,2016,8,2016,10,1.3922066911738442,0.4047501071642138
36,CA-2016-117590,2016-08-12,2016-10-12,First Class,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,2016,8,2016,10,-0.06247622452020523,-0.7539478148827052
37,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,2015,12,2015,12,-0.18697299142085272,0.028848717602105806
38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,2015,12,2015,12,0.48542892502896984,-0.32286033270146963
39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,2015,12,2015,12,-0.028560193759999436,-0.1869882872485143
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,2015,12,2015,12,0.22673262742726252,0.0559186274664253
41,CA-2017-120999,2017-10-09,2017-09-15,Standard Class,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,2017,10,2017,9,-0.13267653570482643,-0.05165410546019206
42,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894,2016,7,2016,7,-0.2438494914865058,-0.10570684250027142
43,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,2017,9,2017,9,-0.21539198739136864,-0.081513222613966
44,CA-2016-118255,2016-11-03,2016-03-13,First Class,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,2016,11,2016,3,-0.2950332071289774,-0.037930044493562104
45,CA-2016-118255,2016-11-03,2016-03-13,First Class,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.2062,2016,11,2016,3,-0.3407936952206166,-0.08729909889209046
46,CA-2014-146703,2014-10-20,2014-10-25,Second Class,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784,2014,10,2014,10,-0.0287174352688697,-0.08613714262611329
47,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.95,2016,6,2016,6,-0.2966056222176803,-0.10119903273953697
48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104,2016,6,2016,6,-0.33383014268493233,-0.0962728845729768
49,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,2015,4,2015,4,-0.3074841674231962,-0.045647961205122586
50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0.0,35.3346,2015,4,2015,4,-0.2481816555064015,0.02850550935895899
